area,room,toilet,lat,long,price-VND,quan-code,loai_bds-code,price-per-m2
120,4,6,16.03346,108.23031,100000,2,12,833
120,4,5,16.07079,108.22511,100000,2,14,833
100,4,4,16.09227,108.23095,687000,5,14,6870
95,3,4,16.02611,108.24381,1000000,4,14,10526
800,4,6,16.02983,108.25417,1000000,4,12,1250
50,3,4,16.08417,108.21861,3000000,2,13,60000
134,0,0,16.02268,108.24644,6000000,4,7,44776
77,2,2,16.0598,108.23051,12000000,5,0,155844
100,0,0,16.0734,108.22889,17000000,5,7,170000
1263,0,0,16.03746,108.0676,22000000,0,7,17418
52,0,0,16.0854,108.23467,26000000,5,7,500000
120,4,6,16.03346,108.23031,100000000,2,14,833333
105,3,2,16.03851,108.24755,200000000,4,0,1904761
200,0,0,16.03277,108.22202,549000000,2,10,2745000
26,0,0,16.0608,108.20521,640000000,6,0,24615384
150,0,0,15.96468,108.21197,680000000,0,7,4533333
31,0,0,16.06352,108.20856,850000000,6,0,27419354
68,2,0,15.99107,108.23758,900000000,4,0,13235294
68,2,2,15.98635,108.25687,900000000,4,0,13235294
120,4,5,16.03346,108.23031,1000000000,2,14,8333333
70,2,2,16.10909,108.13038,1000000000,3,0,14285714
74,2,2,16.1061,108.13558,1000000000,3,1,13513513
427,4,6,16.02983,108.25417,1000000000,4,12,2341920
1000,0,0,16.02983,108.25417,1000000000,4,7,1000000
68,2,2,15.98635,108.25687,1200000000,4,0,17647058
150,0,0,16.09775,108.08974,1200000000,0,7,8000000
70,2,2,15.99107,108.23758,1300000000,4,0,18571428
93,2,2,16.05067,108.15756,1350000000,3,14,14516129
100,1,1,15.99388,108.23889,1450000000,4,13,14500000
90,2,1,16.01518,108.19293,1500000000,1,13,16666666
32,1,1,16.04335,108.22148,1520000000,2,13,47500000
24,1,2,16.07371,108.21071,1650000000,6,13,68750000
35,3,2,16.06851,108.20916,1700000000,6,13,48571428
52,1,1,16.0558,108.22367,1700000000,2,0,32692307
66,2,2,16.05224,108.24686,1750000000,4,0,26515151
25,2,2,16.07243,108.20271,1780000000,6,13,71200000
30,2,2,16.06851,108.20916,1790000000,6,13,59666666
100,0,0,16.05192,108.16724,1800000000,3,5,18000000
22,2,2,16.06756,108.20497,1800000000,6,13,81818181
72,2,3,15.98635,108.25687,1800000000,4,0,25000000
42,3,2,16.02531,108.21319,1800000000,1,14,42857142
310,0,0,16.07686,108.23455,1850000000,5,7,5967741
65,2,1,16.05222,108.17557,1850000000,1,13,28461538
90,4,6,16.02983,108.25417,1900000000,4,14,21111111
30,2,1,16.06791,108.20152,1940000000,6,13,64666666
45,2,1,16.06268,108.21976,1950000000,2,13,43333333
43,2,2,16.06964,108.20322,1950000000,6,13,45348837
40,2,2,16.0252,108.21356,1950000000,1,14,48750000
66,2,2,16.05347,108.24648,1950000000,4,0,29545454
50,1,1,16.07371,108.21071,1970000000,6,13,39400000
72,2,2,15.98635,108.25687,2000000000,4,0,27777777
72,2,2,16.01971,108.25581,2000000000,4,0,27777777
72,2,2,16.01971,108.25581,2000000000,4,0,27777777
72,2,2,15.99392,108.25497,2000000000,4,0,27777777
45,2,2,16.06268,108.21976,2000000000,2,13,44444444
72,2,2,15.98635,108.25687,2000000000,4,0,27777777
53,3,2,16.05515,108.21731,2000000000,2,13,37735849
72,2,2,15.98635,108.25687,2000000000,4,0,27777777
92,3,2,16.05799,108.15665,2050000000,3,13,22282608
80,2,2,16.0143,108.19913,2080000000,1,13,26000000
100,0,0,16.05192,108.16724,2100000000,3,5,21000000
42,1,1,16.07031,108.24423,2100000000,5,0,50000000
40,3,2,16.04335,108.22148,2100000000,2,13,52500000
55,2,1,16.05827,108.174,2150000000,1,13,39090909
100,2,2,16.05192,108.16724,2199000000,3,14,21990000
150,0,0,16.09512,108.13844,2200000000,3,5,14666666
182,0,0,16.02983,108.25417,2200000000,4,7,12087912
65,0,0,16.06793,108.18581,2200000000,6,5,33846153
40,2,3,16.06851,108.20916,2200000000,6,13,55000000
52,0,0,16.06756,108.24001,2200000000,5,4,42307692
64,2,2,16.08011,108.21995,2300000000,2,0,35937500
85,0,0,16.03718,108.24387,2300000000,4,7,27058823
71,1,2,16.08011,108.21995,2300000000,2,0,32394366
71,1,2,16.08011,108.21995,2300000000,2,0,32394366
51,0,0,16.05515,108.21731,2300000000,2,7,45098039
70,2,2,16.08024,108.22089,2300000000,2,0,32857142
108,0,0,15.99246,108.21312,2300000000,1,7,21296296
85,0,0,16.03718,108.24387,2300000000,4,7,27058823
61,3,3,16.08428,108.15575,2300000000,3,14,37704918
64,2,2,16.08011,108.21995,2350000000,2,0,36718750
67,0,0,16.06756,108.20497,2370000000,6,7,35373134
54,3,2,16.05448,108.18343,2375000000,6,13,43981481
150,0,0,16.05192,108.16724,2380000000,3,5,15866666
118,0,0,15.99961,108.206,2400000000,0,7,20338983
84,2,2,16.08475,108.24007,2400000000,5,13,28571428
120,0,0,15.99961,108.206,2400000000,0,7,20000000
57,3,3,16.07222,108.1833,2450000000,6,13,42982456
56,3,4,16.06633,108.18203,2450000000,6,13,43750000
67,2,2,16.05347,108.24648,2450000000,4,0,36567164
48,2,2,16.08597,108.21839,2480000000,2,9,51666666
114,3,3,16.05461,108.24057,2490000000,5,14,21842105
150,0,0,16.05192,108.16724,2500000000,3,5,16666666
70,2,1,16.10909,108.13038,2500000000,3,9,35714285
84,0,0,16.06063,108.21655,2500000000,2,7,29761904
100,0,0,16.00641,108.23998,2500000000,4,7,25000000
85,0,0,15.9803,108.25236,2500000000,4,7,29411764
63,2,1,16.02035,108.20494,2500000000,1,13,39682539
105,3,2,16.03851,108.24755,2500000000,4,0,23809523
54,3,2,16.0668,108.21416,2550000000,6,13,47222222
54,1,1,16.05406,108.2194,2550000000,2,13,47222222
70,5,4,16.05817,108.20961,2550000000,6,13,36428571
35,4,3,16.06192,108.22171,2550000000,2,13,72857142
95,0,0,15.99477,108.20297,2550000000,0,7,26842105
85,3,3,16.03406,108.17856,2550000000,1,13,30000000
