link,price,area,room,toilet,address,lat,long
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/ap-luc-ngan-hang-ban-can-ho-the-sang-residence-2pn-82m2-re-hon-300tr-id21946541,3 tỷ 449 triệu,82 m2,2 PN,2 WC,"Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",16.03851,108.24755
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/di-nuoc-ngoai-ban-gap-can-ho-the-sang-residence-2pn-83m2-gia-re-nhat-id21946585,3 tỷ 499 triệu,82 m2,2 PN,2 WC,"Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",16.03851,108.24755
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/can-ban-nhanh-can-goc-dep-nhat-du-an-the-sang-2pn-view-truc-dien-bien-id21966347,3 tỷ 500 triệu,82 m2,2 PN,2 WC,"Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",16.03851,108.24755
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/2-suat-ngoai-giao-gia-goc-khi-mua-can-ho-the-sang-residence-ck-23-id21968971,3 tỷ 500 triệu,83 m2,2 PN,2 WC,"Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",16.03851,108.24755
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/7-uu-diem-noi-bat-cua-can-ho-the-sang-khay-dong-thi-truong-bds-da-nang-id21969076,3 tỷ 500 triệu,82 m2,2 PN,2 WC,"Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",16.03851,108.24755
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/suc-hut-khong-the-bo-qua-tai-can-ho-the-sang-residence-da-nang-id21975854,3 tỷ 500 triệu,105 m2,3 PN,2 WC,"Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",16.03851,108.24755
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/1-can-shophouse-thuong-mai-trung-tam-hai-chau-regal-pavillon-da-nang-id21992038,15 tỷ,120 m2,4 PN,4 WC,"Hoá Sơn 10, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",16.03346,108.23031
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/ban-nha-4-tang-120m2-doi-dien-lotte-mart-hai-chau-da-nang-re-hon-4-ty-id22042440,14 tỷ 900 triệu,120 m2,5 PN,5 WC,"Duy Tân, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",16.0489,108.21855
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/thua-chung-khoan-ban-can-ho-the-sang-residence-2pn-83m2-view-bien-re-id22014349,3 tỷ 500 triệu,83 m2,2 PN,2 WC,"Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",16.03851,108.24755
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/1-can-duy-nhat-giam-4-ty-shophouse-trung-tam-hai-chau-regal-pavillon-id22045614,14 tỷ 900 triệu,120 m2,5 PN,5 WC,"Hoá Sơn 10, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",16.03346,108.23031
